date,text,emotion,confidence,topics
2025-11-24,"I saw a german sheppared dog and just wanted to play with it i went to it and suddenly it started barking on me i ran from there
",surprise,0.8,"barking, dog, german"
2025-11-24,"I stood first in my exams i am feeling good that my hardwork gave me the fruit
",joy,0.99,"fruit, exams, hardwork"
2025-11-24,"Today i broke up with my boyfriend
",sadness,0.98,"broke, boyfriend, today"
2025-11-24,"Today i broke up with my boyfriend 
He cheated on me
",sadness,0.87,"cheated, boyfriend, broke"
2025-11-24,"Today i broke up with my boyfriend 
He cheated on me
",sadness,0.87,"cheated, boyfriend, broke"
2025-11-24,"Today i broke up with my boyfriend 
He cheated on me
i will never get into relationshio again
",sadness,0.92,"cheated, relationshio, boyfriend"
2025-11-24,"Today i broke up with my boyfriend 
He cheated on me
i will never get into relationship again
",sadness,0.92,"cheated, boyfriend, relationship"
2025-11-24,"Today i broke up with my boyfriend 
He cheated on me
i will never get into relationship again
",sadness,0.92,"cheated, boyfriend, relationship"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
",neutral,0.74,"barked, shapperd, german"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
",fear,0.91,"barked, scared, shapperd"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
mext day i am ok
",fear,0.9,"barked, scared, saw"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
mext day i am ok
",fear,0.9,"barked, scared, saw"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
mext day i am ok
",fear,0.9,"barked, scared, saw"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
mext day i am ok
",fear,0.9,"barked, scared, saw"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
mext day i am ok
",fear,0.9,"barked, scared, saw"
2025-11-24,"i saw a german shapperd i wanted to play with it and suddenly it barked onto me i ran from there
i was scared so ran very fast
mext day i am ok
",fear,0.9,"barked, scared, saw"
2025-11-24,"today i broke up with my boyfriend 
he cheated on me
i will not love get into relationship again
",sadness,0.93,"cheated, boyfriend, relationship"
2025-11-24,"today i broke up with my boyfriend 
he cheated on me
i will not love get into relationship again
",sadness,0.93,"cheated, boyfriend, relationship"
2025-11-24,"i am not able to complete my syllabus i am tensed about tomorrow's exam
",disappointment,0.64,"syllabus, exam, tensed"
